state,pop
Arizona,6946685.0
South Carolina,4955925.0
Wisconsin,5778394.0
Georgia,10297484.0
Alaska,736384.0
Kentucky,4440204.0
Alabama,4864680.0
South Dakota,864289.0
Ohio,11641879.0
Oklahoma,3918137.0
Tennessee,6651089.0
District of Columbia,684498.0
Rhode Island,1056611.0
West Virginia,1829054.0
Minnesota,5527358.0
Oregon,4081943.0
Wyoming,581836.0
Connecticut,3581504.0
New Jersey,8881845.0
Montana,1041732.0
Kansas,2908776.0
Arkansas,2990671.0
Washington,7294336.0
Delaware,949495.0
Maryland,6003435.0
Nevada,2922849.0
New York,19618453.0
Louisiana,4663616.0
Pennsylvania,12791181.0
Michigan,9957488.0
Massachusetts,6801779.0
Iowa,3132499.0
Colorado,5531141.0
Vermont,624977.0
New Hampshire,1343622.0
Missouri,6090062.0
Mississippi,2988762.0
